ID,Level Description,Category,DisplayName,InternalName?,Summary,Full_Description,CTAButtonTitle,Action_Provider,CTAURL,DDMType,EvidenceBasisURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Applicable Wellness Levels (separated by comma),Applicable Pillar (pillar name separated by comma),Score,Maintenance Ref,Region,Postcode,Free_paid,retrocession,Frequency,Periodicity,Total Iterations,Topic,Ml-MOT Flag
1145,Advanced Learning,Foundation,Lifelong learning,1145,Learn about the importance of lifelong learning.,"Lifelong learning enhances personal growth, expands knowledge and skills, fosters adaptability, improves career prospects, and promotes intellectual stimulation and fulfilment.",Do,,https://www.halixia.com/ma/lifelong-learning-1145,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Learning,1,1146,,,Paid,,,,,"Current Job,New Job,Upskilling,Self-Employment,",Y
1146,Advanced Learning,Foundation,Learn something new,1146,Take a course from top institutions.,"Find a new interest, take a course and start a healthy habit of lifelong learning.",Sign me up,Learning 24/7,https://www.awin1.com/cread.php?awinmid=15642&awinaffid=1198638&ued=https%3A%2F%2Fwww.learning247.co.uk%2F,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Learning,1,,,,Paid,,weekly,6 months,24,,
130,Diagnostic,Body,The NHS healthcheck,130,A regular health check-up for adults 40 to 74 in England.,"The NHS provides a 5-year check-up is aimed at adults in England aged 40 to 74. It's designed to detect early signs of stroke, kidney disease, heart disease, type 2 diabetes and dementia.",Read,,https://www.halixia.com/ma/the-nhs-healthcheck-130,Development,,40-74,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,2,,,,Free,,,,,"Disease Mgt,Health checks",Y
418,Diagnostic,Body,Symptom checker,418,Check your symptoms online.,Help identify possible conditions and treatments related to your symptoms.,Do,WebMD,https://symptoms.webmd.com/,Diagnostic,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,,,,Free,,,,,Disease Mgt,Y
527,Diagnostic,Body,Chiropractic care,527,Advice on chiropractic care on the NHS.,Read to find about chiropractic care and if you are eligible on the NHS.,Visit site,,https://www.halixia.com/ma/chiropractic-care-527,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,2,528,,,Free,,,,,,
528,Diagnostic,Body,See a chiropractor,528,Find a chiropractor near you.,Find a chiropractor near you to help relieve pain and other benefits from regular chiropractor care.,Visit site,Chiropractic UK,https://chiropractic-uk.co.uk/find-a-chiropractor/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,,,,Free,,every 2 weeks,1 year,24,,
529,Diagnostic,Body,Slowing bone loss,529,How to slow down bone loss.,"Bone loss is inevitable as we age but we can work on slowing down the rate, learn what you can do to protect your bones",Read,,https://www.halixia.com/ma/slowing-bone-loss-529,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,2,530,,,Free,,,,,"Disease Mgt,Bones",Y
530,Diagnostic,Body,Bone strength,530,19 ways to preserve bone strength.,"Losing bone mass is inevitable, learn about what you can do to help preserve your bone strength as you age",Read,Prevention,https://www.prevention.com/health/a20428985/19-ways-to-preserve-bone-strength-and-treat-osteoporosis/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,,,,Free,,weekly,6 months,24,,
531,Diagnostic,Body,Skin care importance,531,Read about the importance of skin care.,"The skin is the largest organ in the body but often gets neglected, read about the importance of looking after your skincare.",Read,,https://www.halixia.com/ma/skin-care-importance-531,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,532,,,Free,,,,,,
532,Diagnostic,Body,Skin care box,532,Get a skin care subscription box.,"With the importance of looking after your skin and self-care, join a skin care subscription service to get skin care products delivered to your door.",Visit site,ACO,https://www.awin1.com/cread.php?awinmid=47631&awinaffid=1198638&ued=https%3A%2F%2Facoskincare.co.uk%2F,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,,,,Paid,,monthly,1 year,12,,
1078,Diagnostic,Body,Be body aware,1078,Learn the importance of listening to your body.,"Learn why you should listen to your body, they know exactly what they need, and learning how to listen will be better for your health and wellbeing.",Read,,https://www.halixia.com/ma/be-body-aware-1078,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,1079,,,Free,,,,,Disease Mgt,Y
1079,Diagnostic,Body,Listen to your body,1079,Get listening to what your body is telling you.,Start listening to your body not only to create a healthy habit but also put yourself first.,Sign up,WebMD,https://www.webmd.com/a-to-z-guides/ss/slideshow-listen-to-body,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,,,,Free,,weekly,6 months,24,,
1157,Social/community engagement,Contribute,Become a magistrate,1157,Learn about being a magistrate.,"Volunteering as a magistrate gives the opportunity of contributing to your community, upholding justice, and making a positive impact on individuals and society.",Visit site,,https://www.halixia.com/ma/become-a-magistrate-1157,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Community,3,1158,,,Free,,,,,Give Back,Y
1158,Social/community engagement,Contribute,Being a magistrate,1158,Become a volunteer magistrate.,Train and volunteer as a magistrate and create a healthy habit of giving back to your community.,Sign me up,Magistrates,https://magistrates.judiciary.uk/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Community,1,,,,Free,,monthly,1 year,12,,
1159,Social/community engagement,Contribute,Tourette’s awareness,1159,Raise your awareness of Tourette Syndrome (TS).,"If you know someone with TS it may be worthwhile learning about it, its challenges, and the experiences of individuals living with it.",Visit site,,https://www.halixia.com/ma/tourettes-awareness-1159,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Community,1,1160,,,Free,,,,,,
1160,Social/community engagement,Contribute,Get volunteering,1160,Get involved with a Tourette Syndrome (TS) charity.,Get involved and volunteer with a TS charity to create a healthy habit of giving back.,Sign me up,Tourettes Action,https://www.tourettes-action.org.uk/15-get-involved.html,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Community,1,,,,Free,,monthly,1 year,12,,
1161,Advanced Learning,Upskill,Learn about Tourette’s,1161,Grow your understanding of Tourette Syndrome (TS).,"If you employ or teach someone with TS, learning about it helps to increase understanding, empathy, and support, helping to foster a more accepting and compassionate society for those with Tourette's.",Read,,https://www.halixia.com/ma/learn-about-tourettes-1161,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Learning,2,1162,,,Free,,,,,,
1162,Advanced Learning,Upskill,Course on Tourette’s,1162,Take a course to learn about Tourette Syndrome (TS).,Learn about TS to support individuals around you who may have TS and help foster a more accepting and compassionate society.,Sign me up,Tourettes Action,https://www.tourettes-action.org.uk/learningplatform/#/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Learning,1,,,,Free,,every 2 weeks,3 months,24,,
1163,Middle circle,Belong,Kids and gardening,1163,Reap the benefits by gardening with children.,Children love growing plants and love being involved in the garden but they’re often impatient for instant results. Try to capture their enthusiasm with simple quick projects everyone can enjoy.,Visit site,,https://www.halixia.com/ma/kids-and-gardening-1163,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",2,Community,3,1164,,,Free,,,,,"F&F,Hobby,Outdoors,Gardening",Y
1164,Middle circle,Belong,Gardening with kids,1164,Spend time gardening with your children.,"Roll up your sleeves, get your wellies on, grab a trowel and start regularly spending time in the garden with your children or grandchildren.",Sign me up,Growing Family,https://growingfamily.co.uk/gardening-with-children/gardening-for-kids-10-brilliant-garden-projects-to-do-with-children/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",2,Community,1,,,,Free,,weekly,6 months,24,,
1165,Diagnostic,Nutrition,Why drink milk,1165,Drinking milk can be beneficial whatever your age.,"Drinking milk has many health benefits with its rich calcium content, which reduces the risk of osteoporosis, and provides essential nutrients for overall bone health and muscle function.",Read,,https://www.halixia.com/ma/why-drink-milk-1165,Development,,50-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Health,2,1166,,,Free,,,,,,
1166,Diagnostic,Nutrition,Drink more milk,1166,Add more milk to your diet.,"Start drinking more milk, to create a healthy habit and gain all the benefits that come with it.",Sign me up,Find Me A Milkman,https://findmeamilkman.net/,Maintenance,,50-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Health,1,,,,Free,,3 times a week,2 months,24,,
1167,Diagnostic,Nutrition,Why drink milk,1167,Milk is packed with nutrients that benefit our bodies.,"Drinking milk has many health benefits with its rich calcium content, which supports strong bones, and provides essential nutrients for overall bone health and muscle function.",Read,,https://www.halixia.com/ma/why-drink-milk-1167,Development,,0-49,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Health,2,1168,,,Free,,,,,,
1168,Diagnostic,Nutrition,Drink more milk,1168,Add more milk to your diet.,Find your perfect milk and a glass a day can be an affordable way to get a nutrient packed drink.,Sign me up,BBC Good Food,https://www.bbcgoodfood.com/howto/guide/which-milk-right-you,Maintenance,,0-49,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Health,1,,,,Free,,3 times a week,2 months,24,,
1169,Inner circle,Belong,Quality time counts,1169,Why spending quality time with your children is important.,"Learn about how spending quality time with your children, no matter their age to help contribute to a healthy relationship and develop growth and happiness.",Read,,https://www.halixia.com/ma/quality-time-counts-1169,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Community,1,1170,,,Free,,,,,F&F,Y
1170,Inner circle,Belong,Book in quality time,1170,Spend more quality time with your children.,"Start setting time aside to spend quality time with your children, helping to create a healthy habit and relationship.",Sign me up,Focus on the Family,https://www.focusonthefamily.com/parenting/50-games-and-activities-to-do-with-your-kids/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Community,1,,,,Free,,weekly,6 months,24,,
1171,Advanced brain & body fitness,Nutrition,Sweet tooth?,1171,The occasional sweet treat is a great mood booster.,"Many of us have got a sweet tooth and we all know too much sugar isn't good for you, but a regular treat can be beneficial and satisfy cravings and allow us to indulge in a bit of self-care.",Read,,https://www.halixia.com/ma/sweet-tooth-1171,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Health,2,1172,,,Free,,,,,,
1172,Advanced brain & body fitness,Nutrition,Have a treat,1172,Boost your mood with a sweet treat.,Treat yourself with a trip down memory lane and order a quarter of...,Sign me up,A Quarter of...,https://www.awin1.com/cread.php?awinmid=978&awinaffid=1198638&ued=https%3A%2F%2Fwww.aquarterof.co.uk,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Health,1,,,,Paid,,monthly,1 year,12,,
1173,Diagnostic,Nutrition,Why eat eggs,1173,Learn about the benefits of adding eggs to your diet.,"Eating eggs offers numerous benefits including high-quality protein for muscle health, essential vitamins and minerals, brain-nourishing choline, and satiety to support weight management.",Read,,https://www.halixia.com/ma/why-eat-eggs-1173,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Health,1,1174,,,Free,,,,,,
1174,Diagnostic,Nutrition,Eat more eggs,1174,Add more eggs to your diet.,Start adding more eggs to your diet to help create a healthy nutritious habit.,Sign me up,BBC Good Food,https://www.bbcgoodfood.com/recipes/collection/egg-recipes,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Health,1,,,,Free,,weekly,6 months,24,,
1175,Outer circle,Expand,Interested in nature,1175,Visit a butterfly house and learn about these insects.,Looking for things to do with the family? Visit a butterfly house and learn about these insects' role in our natural world and how protect them for future generations.,Visit site,,https://www.halixia.com/ma/interested-in-nature-1175,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Community,2,,,,Free,,,,,"Hobby,Something New,Outdoors,Nature",Y
